,0,1,2,3,4,5,6
tt1964418,['Brad Bird'],nm0083348,"['Damon Lindelof (screenplay by)', 'Brad Bird (screenplay by)']","['nm0511541', 'nm0083348', 'edits#writers']","['George Clooney', 'Britt Robertson', 'Hugh Laurie']","['nm0000123', 'nm1429380', 'nm0491402']",60
tt0437086,['Robert Rodriguez'],nm0001675,"['James Cameron (screenplay by)', 'Laeta Kalogridis (screenplay by)']","['nm0000116', 'nm0436164', 'edits#writers']","['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly']","['nm4023073', 'nm0910607', 'nm0000124']",53
tt3741700,['Michael Dougherty'],nm1002424,"['Michael Dougherty (screenplay by)', 'Zach Shields (screenplay by)']","['nm1002424', 'nm1296461', 'edits#writers']","['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown']","['nm0151419', 'nm0267812', 'nm5611121']",48
tt2567026,['James Bobin'],nm0090386,"['Linda Woolverton', 'Lewis Carroll (based on characters created by)']","['nm0941314', 'nm0140902']","['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter']","['nm1985859', 'nm0000136', 'nm0000307']",34
tt0892791,['Mike Mitchell'],nm0593610,"['Josh Klausner', 'Darren Lemke']","['nm0458441', 'nm0501359', 'edits#writers']","['Mike Myers', 'Cameron Diaz', 'Eddie Murphy']","['nm0000196', 'nm0000139', 'nm0000552']",58
tt1211837,['Scott Derrickson'],nm0220600,"['Jon Spaihts', 'Scott Derrickson']","['nm3123612', 'nm0220600', 'edits#writers']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']","['nm1212722', 'nm0252230', 'nm1046097']",72
tt2245084,"['Don Hall', 'Chris Williams']",nm2320658,"['Jordan Roberts (screenplay by)', 'Robert L. Baird (screenplay by)']","['nm1471001', 'nm0047916', 'edits#writers']","['Ryan Potter', 'Scott Adsit', 'Jamie Chung']","['nm3994407', 'nm0012523', 'nm1512166']",74
tt0892769,"['Dean DeBlois', 'Chris Sanders']",nm0213450,"['William Davies (screenplay by) (as Will Davies)', 'Dean DeBlois (screenplay by)']","['nm0204030', 'nm0213450', 'edits#writers']","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']","['nm0059431', 'nm0124930', 'nm2395586']",75
tt1772341,['Rich Moore'],nm0601781,"['Rich Moore (story by)', 'Phil Johnston (story by)']","['nm0601781', 'nm1601882', 'edits#writers']","['John C. Reilly', 'Jack McBrayer', 'Jane Lynch']","['nm0000604', 'nm1442113', 'nm0528331']",72
tt0816692,['Christopher Nolan'],nm0634240,"['Jonathan Nolan', 'Christopher Nolan']","['nm0634300', 'nm0634240']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']","['nm0000190', 'nm0004266', 'nm1567113']",74
tt1628841,['Roland Emmerich'],nm0000386,"['Nicolas Wright (screenplay by)', 'James A. Woods (screenplay by)']","['nm1288961', 'nm1123994', 'edits#writers']","['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']","['nm2955013', 'nm0000156', 'nm0000597']",32
tt2771200,['Bill Condon'],nm0174374,"['Stephen Chbosky (screenplay by)', 'Evan Spiliotopoulos (screenplay by)']","['nm0154716', 'nm0818746', 'edits#writers']","['Emma Watson', 'Dan Stevens', 'Luke Evans']","['nm0914612', 'nm1405398', 'nm1812656']",65
tt1477834,['James Wan'],nm1490123,"['David Leslie Johnson-McGoldrick (screenplay by)', 'Will Beall (screenplay by)']","['nm0424901', 'nm3263825', 'edits#writers']","['Jason Momoa', 'Amber Heard', 'Willem Dafoe']","['nm0597388', 'nm1720028', 'nm0000353']",55
tt1375666,['Christopher Nolan'],nm0634240,['Christopher Nolan'],['nm0634240'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']","['nm0000138', 'nm0330687', 'nm0680983']",74
tt1951266,['Francis Lawrence'],nm1349376,"['Peter Craig (screenplay)', 'Danny Strong (screenplay)']","['nm0185976', 'nm0834960', 'edits#writers']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']","['nm2225369', 'nm1242688', 'nm2955013']",65
