,0,1,2,3,4,5,6,7,8,9
tt3095734,Monster Trucks,2016,PG,1h 44min,"['Action', 'Adventure', 'Comedy']",13 January 2017,USA,5.6,,
tt4196776,Jason Bourne,2016,PG-13,2h 3min,"['Action', 'Thriller']",29 July 2016,USA,6.6,,
tt0454876,Life of Pi,2012,PG,2h 7min,"['Adventure', 'Drama', 'Fantasy']",21 November 2012,USA,7.9,,
tt2231461,Rampage,2018,PG-13,1h 47min,"['Action', 'Adventure', 'Sci-Fi']",13 April 2018,USA,6.1,,
tt1535108,Elysium,2013,R,1h 49min,"['Action', 'Drama', 'Sci-Fi']",9 August 2013,USA,6.6,,
tt1483013,Oblivion,2013,PG-13,2h 4min,"['Action', 'Adventure', 'Sci-Fi']",19 April 2013,USA,7.0,,
tt3717490,Power Rangers,2017,PG-13,2h 4min,"['Action', 'Adventure', 'Sci-Fi']",24 March 2017,USA,5.9,,
tt0093870,RoboCop,1987,R,1h 42min,"['Action', 'Crime', 'Sci-Fi']",17 July 1987,USA,7.5,,
tt1502712,Fantastic Four,2015,PG-13,1h 40min,"['Action', 'Adventure', 'Sci-Fi']",7 August 2015,USA,4.3,,
tt1341188,How Do You Know,2010,PG-13,2h 1min,"['Comedy', 'Drama', 'Romance']",17 December 2010,USA,5.4,,
tt1013743,Knight and Day,2010,PG-13,1h 49min,"['Action', 'Adventure', 'Comedy']",23 June 2010,USA,6.3,,
tt1270797,Venom,2018,PG-13,1h 52min,"['Action', 'Adventure', 'Sci-Fi']",5 October 2018,USA,6.7,,
tt1430132,The Wolverine,2013,PG-13,2h 6min,"['Action', 'Adventure', 'Sci-Fi']",26 July 2013,USA,6.7,,
tt2381991,The Huntsman: Winter's War,2016,PG-13,1h 54min,"['Action', 'Adventure', 'Drama']",22 April 2016,USA,6.1,,
tt1320261,Gulliver's Travels,2010,PG,1h 25min,"['Adventure', 'Comedy', 'Family']",25 December 2010,USA,4.9,,
tt3411444,Ferdinand,2017,PG,1h 48min,"['Animation', 'Adventure', 'Comedy']",15 December 2017,USA,6.7,,
tt5463162,Deadpool 2,2018,R,1h 59min,"['Action', 'Adventure', 'Comedy']",18 May 2018,USA,7.7,,
tt1454468,Gravity,2013,PG-13,1h 31min,"['Drama', 'Sci-Fi', 'Thriller']",4 October 2013,USA,7.7,,
tt2126355,San Andreas,2015,PG-13,1h 54min,"['Action', 'Adventure', 'Drama']",29 May 2015,USA,6.0,,
tt0472181,The Smurfs,2011,PG,1h 43min,"['Animation', 'Adventure', 'Comedy']",29 July 2011,USA,5.4,,
tt2908446,The Divergent Series: Insurgent,2015,PG-13,1h 59min,"['Action', 'Adventure', 'Sci-Fi']",20 March 2015,USA,6.2,,
